CODE_DOMAIN,CODE_VALUE,CODE_DESC,uri,uri2,uri3,uri4,label1,label2,label3
C_O_SOIL_TAXONOMY,S,Spodosol,http://registry.it.csiro.au/def/soils/soil-taxonomy/,spodosol,spodosol,http://registry.it.csiro.au/def/soils/soil-taxonomy/spodosol,',@en,'Spodosol'@en
C_O_SOIL_TAXONOMY,SAQ,Aquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,aquod,aquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/aquod,',@en,'Aquod'@en
C_O_SOIL_TAXONOMY,SAQCR,Cryaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,cryaquod,cryaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/cryaquod,',@en,'Cryaquod'@en
C_O_SOIL_TAXONOMY,SAQDU,Duraquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,duraquod,duraquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/duraquod,',@en,'Duraquod'@en
C_O_SOIL_TAXONOMY,SAQFR,Fragiaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,fragiaquod,fragiaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/fragiaquod,',@en,'Fragiaquod'@en
C_O_SOIL_TAXONOMY,SAQHA,Haplaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,haplaquod,haplaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/haplaquod,',@en,'Haplaquod'@en
C_O_SOIL_TAXONOMY,SAQPK,Placaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,placaquod,placaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/placaquod,',@en,'Placaquod'@en
C_O_SOIL_TAXONOMY,SAQSI,Sideraquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,sideraquod,sideraquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/sideraquod,',@en,'Sideraquod'@en
C_O_SOIL_TAXONOMY,SAQTR,Tropaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,tropaquod,tropaquod,http://registry.it.csiro.au/def/soils/soil-taxonomy/tropaquod,',@en,'Tropaquod'@en
C_O_SOIL_TAXONOMY,SFE,Ferrod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,ferrod,ferrod,http://registry.it.csiro.au/def/soils/soil-taxonomy/ferrod,',@en,'Ferrod'@en
C_O_SOIL_TAXONOMY,SFEFE,Ferrod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,ferrod,ferrod,http://registry.it.csiro.au/def/soils/soil-taxonomy/ferrod,',@en,'Ferrod'@en
C_O_SOIL_TAXONOMY,SHU,Humod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,humod,humod,http://registry.it.csiro.au/def/soils/soil-taxonomy/humod,',@en,'Humod'@en
C_O_SOIL_TAXONOMY,SHUCR,Cryohumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,cryohumod,cryohumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/cryohumod,',@en,'Cryohumod'@en
C_O_SOIL_TAXONOMY,SHUFR,Fragihumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,fragihumod,fragihumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/fragihumod,',@en,'Fragihumod'@en
C_O_SOIL_TAXONOMY,SHUHA,Haplohumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,haplohumod,haplohumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/haplohumod,',@en,'Haplohumod'@en
C_O_SOIL_TAXONOMY,SHUPK,Placohumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,placohumod,placohumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/placohumod,',@en,'Placohumod'@en
C_O_SOIL_TAXONOMY,SHUTR,Tropohumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,tropohumod,tropohumod,http://registry.it.csiro.au/def/soils/soil-taxonomy/tropohumod,',@en,'Tropohumod'@en
C_O_SOIL_TAXONOMY,SOR,Orthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,orthod,orthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/orthod,',@en,'Orthod'@en
C_O_SOIL_TAXONOMY,SORCR,Cryorthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,cryorthod,cryorthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/cryorthod,',@en,'Cryorthod'@en
C_O_SOIL_TAXONOMY,SORFR,Fragiorthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,fragiorthod,fragiorthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/fragiorthod,',@en,'Fragiorthod'@en
C_O_SOIL_TAXONOMY,SORHA,Haplorthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,haplorthod,haplorthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/haplorthod,',@en,'Haplorthod'@en
C_O_SOIL_TAXONOMY,SORPK,Placorthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,placorthod,placorthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/placorthod,',@en,'Placorthod'@en
C_O_SOIL_TAXONOMY,SORTR,Troporthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/,troporthod,troporthod,http://registry.it.csiro.au/def/soils/soil-taxonomy/troporthod,',@en,'Troporthod'@en
C_O_SOIL_TAXONOMY,U,Ultisol,http://registry.it.csiro.au/def/soils/soil-taxonomy/,ultisol,ultisol,http://registry.it.csiro.au/def/soils/soil-taxonomy/ultisol,',@en,'Ultisol'@en
C_O_SOIL_TAXONOMY,UAQ,Aquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,aquult,aquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/aquult,',@en,'Aquult'@en
C_O_SOIL_TAXONOMY,UAQAL,Albaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/,albaquult,albaquult,http://registry.it.csiro.au/def/soils/soil-taxonomy/albaquult,',@en,'Albaquult'@en
