skos:notation,CODE_DESC,URI one,URI two,URI three,rdf:type,rdfs:label one,rdfs:label two,rdfs:label three,rdfs:label four,skos:definition
KS,Coarse sand,coarse-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-sand,skos:Concept,Coarse sand,',@en,'Coarse sand'@en,Coarse sand
KSC,Coarse sandy clay,coarse-sandy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-clay,skos:Concept,Coarse sandy clay,',@en,'Coarse sandy clay'@en,Coarse sandy clay
KSCL,Coarse sandy clay loam,coarse-sandy-clay-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-clay-loam,skos:Concept,Coarse sandy clay loam,',@en,'Coarse sandy clay loam'@en,Coarse sandy clay loam
KSHC,Coarse sandy heavy clay,coarse-sandy-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-heavy-clay,skos:Concept,Coarse sandy heavy clay,',@en,'Coarse sandy heavy clay'@en,Coarse sandy heavy clay
KSL,Coarse sandy loam,coarse-sandy-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-loam,skos:Concept,Coarse sandy loam,',@en,'Coarse sandy loam'@en,Coarse sandy loam
KSLC,Coarse sandy light clay,coarse-sandy-light-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-light-clay,skos:Concept,Coarse sandy light clay,',@en,'Coarse sandy light clay'@en,Coarse sandy light clay
KSLMC,Coarse sandy light medium clay,coarse-sandy-light-medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-light-medium-clay,skos:Concept,Coarse sandy light medium clay,',@en,'Coarse sandy light medium clay'@en,Coarse sandy light medium clay
KSMC,Coarse sandy medium clay,coarse-sandy-medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-medium-clay,skos:Concept,Coarse sandy medium clay,',@en,'Coarse sandy medium clay'@en,Coarse sandy medium clay
KSMHC,Coarse sandy medium heavy clay,coarse-sandy-medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-sandy-medium-heavy-clay,skos:Concept,Coarse sandy medium heavy clay,',@en,'Coarse sandy medium heavy clay'@en,Coarse sandy medium heavy clay
KSS,Coarse pure sand,coarse-pure-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/coarse-pure-sand,skos:Concept,Coarse pure sand,',@en,'Coarse pure sand'@en,Coarse pure sand
L,Loam,loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/loam,skos:Concept,Loam,',@en,'Loam'@en,Loam
LC,Light clay,light-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/light-clay,skos:Concept,Light clay,',@en,'Light clay'@en,Light clay
LFS,Loamy fine sand,loamy-fine-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/loamy-fine-sand,skos:Concept,Loamy fine sand,',@en,'Loamy fine sand'@en,Loamy fine sand
LKS,Loamy coarse sand,loamy-coarse-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/loamy-coarse-sand,skos:Concept,Loamy coarse sand,',@en,'Loamy coarse sand'@en,Loamy coarse sand
LMC,Light medium clay,light-medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/light-medium-clay,skos:Concept,Light medium clay,',@en,'Light medium clay'@en,Light medium clay
LMS,Loamy medium sand,loamy-medium-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/loamy-medium-sand,skos:Concept,Loamy medium sand,',@en,'Loamy medium sand'@en,Loamy medium sand
LP,Loamy peat,loamy-peat,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/loamy-peat,skos:Concept,Loamy peat,',@en,'Loamy peat'@en,Loamy peat
LS,Loamy sand,loamy-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/loamy-sand,skos:Concept,Loamy sand,',@en,'Loamy sand'@en,Loamy sand
MC,Medium clay,medium-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-clay,skos:Concept,Medium clay,',@en,'Medium clay'@en,Medium clay
MHC,Medium heavy clay,medium-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-heavy-clay,skos:Concept,Medium heavy clay,',@en,'Medium heavy clay'@en,Medium heavy clay
MS,Medium sand,medium-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-sand,skos:Concept,Medium sand,',@en,'Medium sand'@en,Medium sand
MSC,Medium sandy clay,medium-sandy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/medium-sandy-clay,skos:Concept,Medium sandy clay,',@en,'Medium sandy clay'@en,Medium sandy clay
