agency_code,proj_code,s_id,o_id,h_no,h_desig_num_pref,h_desig_master,h_desig_subdiv,h_desig_suffix,h_upper_depth,h_lower_depth,h_texture,h_texture_qual,h_soil_water_stat,h_stickiness,h_plasticity_type,h_plasticity_deg,h_water_repellence,h_carbonate_eff,h_bound_distinct,h_bound_shape,h_permeability,h_notes,h_ec,h_salinity_depth,h_dispersion
898,AcidSoils,AN19,1,2,NULL,A,2,NULL,0.1,0.2,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Pale A2.,NULL,NULL,NULL
898,AcidSoils,AN19,1,3,NULL,B,21,NULL,0.2,0.5,SC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
898,AcidSoils,AN19,1,4,NULL,B,22,NULL,0.5,0.6,SC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Hit rocks below 60cm.,NULL,NULL,NULL
898,AcidSoils,AN190,1,1,NULL,A,NULL,p,0,0.1,FSL,+,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
898,AcidSoils,AN190,1,2,NULL,A,3,NULL,0.1,0.2,SCLFS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
898,AcidSoils,AN190,1,3,NULL,B,21,NULL,0.2,0.6,FSC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
898,AcidSoils,AN190,1,4,NULL,B,22,NULL,0.6,0.8,SC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
898,AcidSoils,AN191,1,1,NULL,A,NULL,p,0,0.1,SCLFS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
898,AcidSoils,AN191,1,2,NULL,B,1,NULL,0.1,0.2,CLFS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
898,AcidSoils,AN191,1,3,NULL,B,21,NULL,0.2,0.5,FSC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
898,AcidSoils,AN192,1,1,NULL,A,NULL,p,0,0.1,SCLFS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
898,AcidSoils,AN192,1,2,NULL,B,21,NULL,0.1,0.5,CLFS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
