CODE_VALUE	CODE_DESC	URI one	URI two	URI three	skos:label one
LMC	Light medium clay	light-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/light-medium-clay	
LMS	Loamy medium sand	loamy-medium-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/loamy-medium-sand	
LP	Loamy peat	loamy-peat	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/loamy-peat	
LS	Loamy sand	loamy-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/loamy-sand	
MC	Medium clay	medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-clay	
MHC	Medium heavy clay	medium-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-heavy-clay	
MS	Medium sand	medium-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-sand	
MSC	Medium sandy clay	medium-sandy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-sandy-clay	
MSCL	Medium sandy clay loam	medium-sandy-clay-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-sandy-clay-loam	
MSHC	Medium sandy heavy clay	medium-sandy-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-sandy-heavy-clay	
MSL	Medium sandy loam	medium-sandy-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-sandy-loam	
MSLC	Medium sandy light clay	medium-sandy-light-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-sandy-light-clay	
MSLMC	Medium sandy light medium clay	medium-sandy-light-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-sandy-light-medium-clay	
MSMC	Medium sandy medium clay	medium-sandy-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-sandy-medium-clay	
MSMHC	Medium sandy medium heavy clay	medium-sandy-medium-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-sandy-medium-heavy-clay	
MSS	Medium pure sand	medium-pure-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/medium-pure-sand	
S	Sand	sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sand	
SC	Sandy clay	sandy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sandy-clay	
SCL	Sandy clay loam	sandy-clay-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sandy-clay-loam	
SCLFS	"Sandy clay loam, fine sand"	"sandy-clay-loam,-fine-sand"	http://registry.it.csiro.au/def/soils/texture/	"http://registry.it.csiro.au/def/soils/texture/sandy-clay-loam,-fine-sand"	
SHC	Sandy heavy clay	sandy-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sandy-heavy-clay	
